@id,name:cy,name,highway,@lat,@lon
1770078,Ffordd Jiwbili,Jubilee Way,residential,,
2350058,Llys Ruddlan,Rhuddlan Court,residential,,
2372562,Ffordd Symondscliffe,Symondscliffe Way,unclassified,,
2388707,Lon Yr Ywen,Yew Tree Avenue,residential,,
2425274,Ffordd Blaenau,Ffordd Blaenau / Blaenau Road,trunk,,
2425442,Heol-y-Felin,Mill Street,primary,,
2828818,Llys Ashley,Ashley Court,residential,,
2828831,Cae'r Felin,Millfield,residential,,
2828835,Maesteg,Fairview,residential,,
2954405,Ail Groesfan Hafren,Second Severn Crossing,motorway,,
3869357,Heol Fawr,Heol Fawr,primary,,
3869358,Stryd yr Afr,Stryd yr Afr,tertiary,,
3869359,Heol Newydd,New Street,primary,,
4002723,Lon Darland,Darland Lane,tertiary,,
4002727,Ffordd Holt,Holt Road,secondary,,
4002728,Ffordd Holt,Holt Road,secondary,,
4003664,Gogledd Ffordd yr Onnen,Ash Road North,unclassified,,
4006410,Ffordd Pentraeth,Pentraeth Road,secondary,,
4006469,Lon Talwrn,Ucheldre,secondary,,
4041998,Stryd Fawr,High Street,primary,,
4064113,Rhes Rheidol,Rhes Rheidol / Rheidol Terrace,unclassified,,
4228846,Stryt Y Rhaglaw,Regent Street,primary,,
4229178,Stryt Yr Arglwydd,Lord Street,unclassified,,
4271850,Trem Y Neuadd,Hall View,primary,,
4272341,Ffordd-y-Entre,Village Road,unclassified,,
4272539,Melin Blwm,Lead Mills,primary,,
4273709,Heol Y Brenin,King Street,secondary,,
4273710,Stryd Gaer,Chester Street,primary,,
4295706,Stryt Y Dug,Duke Street,unclassified,,
4295707,Stryt y Priordy,Regent Street,pedestrian,,
4295708,Stryt yr Allt,Hill Street,tertiary,,
4295709,Allt y Ficerdy,Vicarage Hill,tertiary,,
4295711,Stryt Yr Abad,Abbot Street,residential,,
4311939,Hen Ffordd Mwynglawdd,Old Road Minera,secondary,,
4312041,Ffordd Corwen,Corwen Road,tertiary,,
4349346,Cylcfan Halton,Halton Roundabout,trunk,,
4367275,Ffordd yr Orsaf,Station Road,unclassified,,
4370240,Ffordd yr Orsaf,Station Road,tertiary,,
4370385,Sgwâr Owain Glyndŵr,Sgwâr Owain Glyndŵr / Owain Glyndŵr Square,tertiary,,
4370387,Coedlan Un,First Avenue,trunk,,
4370388,Y Stryd Fawr,Y Stryd Fawr / Great Darkgate Street,secondary,,
4370389,Stryd y Dollborth,Stryd y Dollborth / Northgate Street,trunk,,
4370391,Y Ffynnon Haearn,Y Ffynnon Haearn / Chalybeate Street,unclassified,,
4370678,Stryd Thespis,Stryd Thespis / Thespian Street,trunk,,
4370679,Ffordd Alexandra,Alexandra Road,trunk,,
4370699,Dan Dre,Dan Dre / Mill Street,trunk,,
4370700,Coedlan-y-Parc,Coedlan-y-Parc / Park Avenue,tertiary,,
4372117,Ffordd Penglais,Ffordd Penglais / Penglais Road,trunk,,
4378691,Stryt Fawr,High Street,unclassified,,
4378718,Stryt Efrog,Yorke Street,unclassified,,
4378721,Stryt Y Twtil,Tuttle Street,unclassified,,
4378922,Ffordd Jiwbili,Jubilee Road,residential,,
4379115,Stryt Y Bryn,Mount Street,unclassified,,
4379668,Ffordd Y ddol,Lea Road,unclassified,,
4382338,Stryd Wrecsam,Wrexham Street,secondary,,
4382906,Ffordd Alecsandra,Alexandra Road,residential,,
4382907,Ffordd Victoria,Victoria Road,residential,,
4382956,Lon Nwy,Gas Lane,unclassified,,
4383278,Stryd Grosvenor,Grosvenor Street,unclassified,,
4383281,Stryd Y Tyddyn,Tyddyn Street,unclassified,,
4383341,Ffordd Glanrafon,Glanrafon Road,residential,,
4383343,Stryd y Nant,Brook Street,residential,,
4383346,Stryd Stanley,Stanley Street,residential,,
4383347,Stryd y Capel,Chapel Street,residential,,
4383400,Y Parc,The Park,residential,,
4383402,Cae Bracty,,residential,,
4383420,Lôn Bryn Coch,Bryn Coch Lane,residential,,
4383422,Ffordd Dolgoed,,residential,,
4383456,Nant-y-Coed,,residential,,
4383457,Glyn Teg,,residential,,
4383458,Swn-y-Nant,,residential,,
4383459,Y Gilfach,,residential,,
4383524,Bryn Coch Uchaf,Upper Bryn Coch,residential,,
4383526,Gelli Dywod,Sandy Grove,residential,,
4383527,Bryn Coch Uchaf,Upper Bryn Coch,residential,,
4383528,Ffordd Hengoed,,residential,,
4383529,Ffordd Trem Y Foel,,residential,,
4383530,Y Dolydd,,residential,,
4383531,Ael Y Bryn,,residential,,
4383532,Hafan Deg,,residential,,
4383533,Bryn Coch Uchaf,Upper Bryn Coch,unclassified,,
4383588,Maes Yr Haul,,residential,,
4387580,Stryd Fawr,High Street,secondary,,
4387582,Parc yr Hafod,Hafod Park,residential,,
4388169,Parc yr Hafod,Hafod Park,residential,,
4389228,Glas Dir,Greenside,residential,,
4389249,Maes y Ddol,Meadow Place,service,,
4389250,Stryd Newydd,New Street,primary,,
4389377,Heol yr Iarll,Earl Road,unclassified,,
4389388,Lon Yr Eglwys,Church Lane,residential,,
4395362,Ffordd Yr Wyddgrug,Mold Road,primary,,
4428180,Stryd y Mynach Isaf,Lower Monk Street,secondary,,
4433803,Clos y Pererin,Pilgrims Close,residential,,
4483730,Y Stryd Uchel,Y Stryd Uchel / High Street,residential,,
4483731,Stryd y Frenhines,Stryd y Frenhines / Queen Street,residential,,
4485049,Heol y Wig,Heol y Wig / Pier Street,secondary,,
4487891,Banc Villas,Bank Villas,residential,,
4541816,Ffordd Ystum Llwynarth,Oystermouth Road,primary,,
4571520,Ffordd Sonlli,Sontley Road,unclassified,,
4571562,Trem y Glyn,Dingle View,residential,,
4597295,Heol Caerfyrddin,Carmarthen Road,primary,,
4597296,Heol Caerfyrddin,Carmarthen Road,primary,,
4597297,Heol Caerfyrddin,Carmarthen Road,primary,,
4610331,Pont Britannia,Pont Britannia,trunk,,
4616855,Ffordd yr Orsaf,Station Road,residential,,
4617066,Ffordd y Rhaeadr,Waterfall Road,secondary,,
4624641,Golygfa Deg,Fair View,unclassified,,
4624642,Heol Merthyr Tewdrig,Malthern Road,residential,,
4632588,Ffordd-y-Gogledd,Ffordd-y-Gogledd,trunk,,
4697611,Heol Pentregethin,Pentregethin Road,tertiary,,
4760731,Stryd y Ro,Stryd y Ro / Sea View Place,residential,,
4760733,Stryd y Gorfforaeth,Stryd y Gorfforaeth / Corporation Street,unclassified,,
4760734,Maes Alfred,Maes Alfred / Alfred Place,unclassified,,
4760736,Stryd y Popty,Stryd y Popty / Baker Street,unclassified,,
4760738,Stryd y Farchnad,Stryd y Farchnad / Market Street,unclassified,,
4794851,Stryd y Mynach Isaf,Lower Monk Street,secondary,,
4801008,Y Dolydd,The Meadows,residential,,
4801010,Y Dolydd,The Meadows,service,,
4801016,Y Dolydd,The Meadows,residential,,
4801017,Y Dolydd,The Meadows,service,,
4801028,Y Dolydd,The Meadows,service,,
4801072,Gerddi Booth,,residential,,
4801077,Y Dolydd,The Meadows,residential,,
4801081,Gerddi Booth,Booth Gardens,residential,,
4801082,Y Dolydd,The Meadows,service,,
4801084,Y Dolydd,The Meadows,service,,
4801087,Y Dolydd,The Meadows,unclassified,,
4801181,Gerddi Booth,,residential,,
4817226,Stryd Bute,Bute Street,primary,,
4817227,Stryd Bute,Bute Street,primary,,
4817234,Stryd Bute,Bute Street,primary,,
4817321,Heol Eglwys Fair,Saint Mary Street,tertiary,,
4825827,Plas Bute,Britannia Quay,unclassified,,
4825859,Plas Bute,Bute Place,primary,,
4826152,Ffordd Tresillian,Tresillian Way,primary,,
4826153,Ffordd Tresillian,Tresillian Way,primary,,
4830632,Heol Sycamorwydden,Heol Sycamorwydden / Sycamore Street,primary,,
4830633,Stryd y Bont,Heol y Bont / Bridge Street,primary,,
4830639,Stryd y Coleg,Res y Cawdor / Cawdor Terrace,primary,,
4830640,Heol Newydd,Heol Newydd / New Road,primary,,
4849400,Stryd-y-Gwynt,Wind Street,trunk,,
4852447,Stryt Holt,Holt Road,primary,,
4867318,Stryt Henblas,Henblas Street,pedestrian,,
4867319,Ffordd Caer,Chester Road,unclassified,,
4891009,Ffordd yr Aber,Ffordd yr Aber,unclassified,,
4924999,Y Llwyfenni,The Elms,residential,,
4926558,Ffordd y Ffair,Smithfield Road,primary,,
4926562,Ffordd Llanelwy,St. Asaph Road,primary,,
4926563,Ffordd Llanelwy,St. Asaph Road,primary,,
4940483,Stryd Talbot,Talbot Street,primary,,
4945326,Heol Rotari Cenedlaethol,Rotary International Way,primary,,
4945327,Heol Rotari Cenedlaethol,Rotary International Way,primary,,
4945328,Heol Rotari Cenedlaethol,Rotary International Way,primary,,
4945330,Heol Rotari Cenedlaethol,Rotary International Way,primary,,
4948337,Stryd Lombard,Lombard Street,residential,,
4948349,Trem y Graig,Railway Place,residential,,
4948355,Stryd Glaslyn,Glaslyn Street,residential,,
4950367,Heol Cross Hands,Cross Hands Road,primary,,
4950383,Stryd Caerfyrddin,Carmarthen Street,tertiary,,
4953706,Y Porth Bach,Y Porth Bach / Eastgate,unclassified,,
4953707,Stryd Portland,Stryd Portland / Portland Street,unclassified,,
4958597,Ffordd Mona,Mona Road,primary,,
4958598,Ffordd Cylbedlam,Dale Street,secondary,,
4958789,Ffordd Cae Sêl,Ffordd Cae Sêl,tertiary,,
4958791,Lon Las,Lon Las,secondary,,
4958792,Stryd y Bont,Stryd y Bont,secondary,,
4958893,Lon Glan Mor,Lon Glan Mor / Beach Road,primary,,
4958994,Ffordd Caergybi,,primary,,
4959362,Ffordd Penrhos,Penrhos Road,tertiary,,
4959914,Ffordd Belmont,Belmont Road,residential,,
4959915,Parc Vitoria,,residential,,
4965414,Heol Victoria,Heol Victoria Street,residential,,
4965417,Wtra Streeple,Wtra Steeple Lane,residential,,
4974752,Cilgant Alun,Alyn Crescent,unclassified,,
4980907,Ffordd Coed Helen,Ffordd Coed Helen,unclassified,,
4984732,Y Popls,Y Popls,unclassified,,
4985987,Rhiw'r Castell,Castle Hill,primary,,
4987431,Ffordd Cwrwg,Coracle Way,primary,,
4989476,Stryd Herbert,Herbert Street,primary,,
4989514,Rhodfa Lloyd George,Lloyd George Avenue,primary,,
4989700,Stryd Adelaide,Adelaide Street,unclassified,,
4989716,Stryd Herbert,Herbert Street,primary,,
4989717,Stryd Herbert,Herbert Street,primary,,
4989742,Stryd Bute,Bute Street,tertiary,,
4989743,Stryd Bute,Bute Street,tertiary,,
4989744,Heol Eglwys Fair,Saint Mary Street,tertiary,,
4998212,Heol Llandaf,Llandaff Road,secondary,,
4998226,Heol Alltycnap,Alltycnap Road,unclassified,,
5011080,Heol Casnewydd,Newport Road,primary,,
5015692,Heol Llanedern,Llanedeyrn Road,tertiary,,
5026767,Y Porth,The Gateway,unclassified,,
5049801,Styrd Sant Ioan,St John Street,secondary,,
5073531,Stryd Fawr,High Street,tertiary,,
5073655,Heol Cwmgarw,Cwmgarw Road,primary,,
5184266,Sgwâr y Castell,Sgwâr y Castell,primary,,
5647514,Lon Harwood,Harwood's Lane,residential,,
5647529,Rhodfa Alun,Alyn Drive,residential,,
5647531,Cilgant Grosvenor,Grosvenor Crescent,residential,,
5666767,Ffordd y Brenin,The Kingsway,primary,,
5666885,Cylchfan y Parc Ddiwydiannol,Industrial Park Roundabout,trunk,,
5725054,Rhes Fictoria,Victoria Terrace,unclassified,,
5725055,Stryd Fawr,Stryd Fawr,tertiary,,
5733391,Heol Sandy,Sandy Road,primary,,
5789987,Rhes Segontiwm,Segontium Terrace,residential,,
5789995,Pont yr Aber,Pont yr Aber,footway,,
5790009,Ffordd y Sir,County Road,unclassified,,
5891001,Twll yn y Wal,Twll yn y Wal,pedestrian,,
5891002,Stryd y Plas,Stryd y Plas  /  Palace Street,pedestrian,,
5949424,Stryd Wesla,Chapel Street,unclassified,,
5949429,Rhes Cambrian,Cambrian Terrace,residential,,
6026670,Clos y Eererin,Pilgrims Close,residential,,
6063520,Ffordd Caernarfon,Caernarfon Road,primary,,
6069925,Stryt Y Rhaglaw,Regent Street,primary,,
6069932,Ffordd Alun,Alyn Road,residential,,
6069951,Ffordd Smithfield,Smithfield Drive,residential,,
6069952,Llys Ashley,Ashley Court,residential,,
6075347,Stryd Fawr,Stryd Fawr  /  High Street,primary,,
6075431,Rhesdai Cambrian,Cambrian Terrace,residential,,
6076839,Heol y Castell,Castle Street,primary,,
6076845,Stryd Mwrog,Mwrog Street,trunk,,
6239993,Wtra Streeple,Wtra Steeple Lane,unclassified,,
6239995,Heol Muriau,Heol Muriau / Wall Street,service,,
6239996,Heol Newydd,Heol Newydd / New Street,residential,,
7934758,Golygfa Deg,Fair View,residential,,
7934761,Golygfa Deg,Fair View,unclassified,,
7943301,Ffordd Tyddyn Coch,Croft Coch Road,residential,,
7946377,Heol Brynhyfryd,Brynhyfryd Road,residential,,
7999032,Lôn yr Ysgol,School Lane,unclassified,,
7999057,Heol Joe Deakins,Joe Deakins Road,secondary,,
7999058,Heol Joe Deakins,Joe Deakins Road,secondary,,
7999063,Heol Joe Deakins,Joe Deakins Road,secondary,,
8017459,Stryd yr Afr,Stryd yr Afr,tertiary,,
8017481,Heol Rhian,Llanrhian Road,tertiary,,
8017674,Y Clos,The Close,residential,,
8017675,Trem y Goedlan,Woodland View,residential,,
8042213,Rhes Glanmor,Glanmor Terrace,secondary,,
8090858,Lon Traethgwyn,Brongwyn Lane,unclassified,,
8123597,Ffordd Symondscliffe,Symondscliffe Way,unclassified,,
8249616,Lôn Cyn Farch,Kingsmark Lane,residential,,
8253767,Heol Llansteffan,Llansteffan Road,secondary,,
8253769,Rhiw'r Gofeb,Monument Hill,secondary,,
8303703,Stryd y Farchnad,Market Street,secondary,,
8303706,Gerddi'r Ffynnon,Spring Gardens,secondary,,
8305343,Heol Llansteffan,Llansteffan Road,secondary,,
8500195,Heol Castell Nedd,Neath Road,secondary,,
9473193,Ffordd y Gorllewin,Westway,tertiary,,
9494015,Heol y Gogledd,North Road,tertiary,,
10298186,Rhodfa'r Gors,Gors Avenue,tertiary,,
10304643,Heol Langdon,,tertiary,,
10305517,Heol Ysgubor Fach,Ysgubor Fach Street,tertiary,,
10305523,Heol Langdon,Langdon Road,tertiary,,
10565262,Heol Llansteffan,Llansteffan Road,secondary,,
10565263,Heol Llansteffan,Llansteffan Road,secondary,,
10619944,Porth Tywyll,Dark Gate,tertiary,,
10639381,Heol Mynydd Garnlwyd,Mynydd Garnlwyd Road,residential,,
11362091,Heol y Brenin,King's Road,tertiary,,
12132378,Ffordd Caernarfon,Caernarfon Road,primary,,
13059762,Heol yr Efail,Heol yr Efail / Forge Road,residential,,
13443699,Stryd Rhydychen,Oxford Street,unclassified,,
13448827,Ffordd y Brenin,The Kingsway,secondary,,
13449572,Ffordd y Brenin,The Kingsway,primary,,
13642783,Heol Margam,Margam Road,primary,,
13642929,Heol Margam,Margam Road,primary,,
13764774,Stryd Tanygroes,Tanygroes Street,tertiary,,
13860460,Ffordd y Dywysoges Margared,The Princess Margaret Way,tertiary,,
13860461,Rhodfa'r Gorllewin,Western Avenue,tertiary,,
13860508,Heol Morfa,Farmfield Avenue,residential,,
14028858,Heol y Brenin,King's Road,tertiary,,
14028939,Heol y Brenin,King's Road,tertiary,,
14029231,Heol y Brenin,King's Road,unclassified,,
14187333,Pont y Mileniwm,Millennium Bridge,cycleway,,
14189817,Heol y Drenewydd,Heol y Drenewydd / Newtown Road,trunk,,
14189819,Heol y Garth,Heol y Garth / Garth Road,residential,,
14189825,Lôn Banc,Lôn Banc / Bank Lane,unclassified,,
14461162,Heol y Pentref,Village Road,tertiary,,
14461441,Heol Dalton,Dalton Road,tertiary,,
14461459,Heol Dalton,Dalton Road,tertiary,,
