@id,name:cy,name,place,@lat,@lon
3211692,Llan-lwy,Llandeloy,hamlet,51.9009316,-5.1175427
3225941,Cas-mael,Puncheston,village,51.9302348,-4.9000856
3226018,Cas-fuwch,Castlebythe,hamlet,51.9249170,-4.8786325
7374555,Porthysgewin,Portskewett,village,51.5904472,-2.7262919
7375924,Crug,Crick,village,51.6056911,-2.7389112
8997358,Cil-y-coed,Caldicot,town,51.5912466,-2.7517629
10989751,Morfa Caer,Saltney,suburb,53.1789908,-2.9208778
17119312,Casblaidd,Wolf's Castle,village,51.8979784,-4.9707150
17163240,Ewlo,Ewloe,town,53.1874382,-3.0505097
19741383,Treletert,Letterston,village,51.9278455,-4.9908189
20100185,Croes Castellhaidd,Hayscastle Cross,village,51.8862306,-5.0342051
20100208,Castellhaidd,Hayscastle,hamlet,51.8900743,-5.0586393
21063632,Abertawe,Swansea,city,51.6211442,-3.9467751
21068150,Yr Hob,Hope,village,53.1180417,-3.0341707
21107621,Biwmares,Biwmares / Beaumaris,town,53.2629971,-4.0921643
21395759,Aberteifi,Cardigan,town,52.0839973,-4.6604224
21411035,Penfro,Pembroke,town,51.6754422,-4.9144858
21413029,Dinbych-y-pysgod,Tenby,town,51.6726128,-4.7050443
21413062,Caerfyrddin,Carmarthen,town,51.8591257,-4.3115907
21541044,Y Dyfawden,Devauden,village,51.6884656,-2.7503924
21541150,Drenewydd Gelli-farch,Shirenewton,village,51.6387222,-2.7532619
21549590,Niwgwl,Newgale,village,51.8574211,-5.1262272
21713678,Tryleg,Trelleck,village,51.7450901,-2.7244457
25417393,Yr Wyddgrug,Mold,town,53.1688711,-3.1431489
26108893,Dolgellau,Dolgellau,town,52.7447150,-3.8777787
26700977,Casnewydd,Newport,city,51.5882332,-2.9974967
26879412,Gorllewin Waltwn,Walton West,hamlet,51.7741400,-5.0999900
27199757,Pont-y-pŵl,Pontypool,town,51.7026571,-3.0327511
27199758,Abertyleri,Abertillery,town,51.7299485,-3.1359867
27199759,Rhymni,Rhymney,town,51.7613231,-3.2885172
27199761,Glyn Ebwy,Ebbw Vale,town,51.7812925,-3.2084383
27199763,Caerffili,Caerphilly,town,51.5745432,-3.2208487
27199789,Y Barri,Barry,town,51.4043548,-3.2690216
27199864,Cas-gwent,Chepstow,town,51.6428466,-2.6751258
27199865,Trefynwy,Monmouth,town,51.8098882,-2.7160441
27211260,Llaneurgain,Northop,village,53.2067926,-3.1324591
27237605,Bangor-is-y-Coed,Bangor-on-Dee,village,53.0028302,-2.9123258
27459575,Cei Connah,Connah's Quay,town,53.2199037,-3.0661782
27459576,Y Fflint,Flint,town,53.2492828,-3.1345262
27459577,Bwcle,Buckley,town,53.1702261,-3.0799874
27459578,Penarlâg,Hawarden,village,53.1847774,-3.0266607
27459579,Treffynnon,Holywell,town,53.2714061,-3.2212991
27459580,Maes Glas,,village,53.2884925,-3.2099834
