@lat,@lon,name:cy,place,name
51.8329727,-5.0641479,,hamlet,Simpson Cross
51.8188497,-4.6848787,,village,Llandewi Velfry
51.9500777,-5.0494176,,hamlet,Llangloffan
51.8675547,-5.1254392,,hamlet,Penycwm
51.9173886,-4.8512021,,hamlet,Tufton
51.8005085,-5.0945165,,hamlet,Haroldston West
51.7642230,-5.1332015,,hamlet,Talbenny Cross
51.7989836,-5.0181820,,village,Portfield Gate
51.7257993,-4.6836088,,hamlet,Wiseman's Bridge
51.7506723,-4.5981710,,hamlet,Marros
51.8950341,-4.9068060,,village,Ambleston
51.8792328,-4.9398475,,hamlet,Triffleton
51.8409896,-5.0569974,,hamlet,Summerhill
51.8501582,-5.0590257,,hamlet,Cuffern
51.6009721,-2.7174983,,village,Leechpool
51.6100619,-2.7643084,,village,Caerwent
52.4064743,-3.6063070,,village,Llangurig
52.4357327,-4.0577807,,village,Llangorwen
52.4419969,-4.0281133,,village,Bow Street
52.2801007,-3.0750993,,locality,Maes Treylow
53.1804457,-2.9459909,,village,Saltney Ferry
51.7295342,-5.0173218,,village,Steynton
53.1438395,-3.0035310,,village,Higher Kinnerton
51.7541454,-5.1166913,,hamlet,Hasguard Cross
51.7616409,-5.0992112,,hamlet,Rosepool
51.7736099,-5.0458113,,hamlet,Ratford Bridge
51.7985572,-4.9868410,,suburb,Albert Town
51.7875991,-5.0184311,,hamlet,Dreenhill
53.1675439,-2.9663707,,village,Bretton
53.1650044,-3.0392167,,hamlet,Dobshill
51.9095661,-5.0050888,,hamlet,Welsh Hook
51.8861921,-5.0084894,,hamlet,Brimaston
51.8753430,-5.0204803,,hamlet,Mountain Water
51.8465342,-5.0100088,,hamlet,Folly
53.1034201,-3.0801332,,village,Llanfynydd
53.1254733,-3.0891149,,village,Pont-Y-Bodkin
51.9284756,-5.1589721,,village,Croes-goch
51.7606648,-4.8478201,,hamlet,Martletwy
51.8555737,-4.8365123,,hamlet,Clarbeston
51.8567987,-4.8023681,,hamlet,Bletherston
51.8530678,-5.0036599,,hamlet,Wolfsdale
51.8629646,-4.9928419,,hamlet,Leweston
51.8212984,-5.0205287,,hamlet,Pelcomb Cross
51.7921454,-4.8908332,,hamlet,Rhos
51.7915443,-4.9448033,,hamlet,Uzmaston
51.8216881,-4.5151654,,village,Pwll-trap
51.8350340,-4.4349728,,village,Banc-y-felin
51.8467281,-4.3121123,,locality,Carmarthen Junction
51.8487123,-4.3241388,,suburb,Johnstown
53.1094769,-3.0733925,,farm,Squares Farm
53.1023108,-3.0701219,,farm,Ty Ucha
51.6887716,-3.0322361,,suburb,Griffithstown
52.9438343,-4.5677556,,hamlet,Porth Dinllaen
53.0784893,-2.8824103,,town,Holt
53.0940563,-3.0544784,,village,Cymau
53.1151380,-3.1192865,,village,Treuddyn
53.1024980,-3.0324845,,village,Abermorddu
53.1141771,-3.0452101,,village,Caergwrle
53.2816608,-4.2145365,,village,Pentraeth
53.0900531,-3.0299853,,village,Sydallt
53.0988818,-3.0970437,,hamlet,Bryn Common
51.6649416,-2.6988906,,village,St Arvans
51.8252708,-5.1061143,,village,Nolton Haven
51.8116373,-5.1023877,,hamlet,Druidston Haven
51.8464345,-5.0859186,,village,Roch
52.8587079,-4.4869757,,village,Llanbedrog
53.0984611,-3.1178555,,farm,Cae Glas Farm
51.6956903,-2.8320104,,village,Llangwm
53.3365910,-1.2398136,,village,Kiveton Park Station
51.7535491,-5.1850319,,hamlet,Saint Brides
51.8027399,-5.0328011,,village,Sutton
52.0292766,-5.0719056,,locality,Strumble Head
53.0901194,-3.0698930,,village,Ffrith
52.3986944,-4.0700161,,hamlet,Southgate
53.1060543,-3.0712246,,farm,Bramble Barn
53.0973288,-3.0563538,,farm,Bryn Bedw Farm
53.0992129,-3.0327394,,village,Cefn-Y-Bedd
53.0115538,-4.1022335,,village,Beddgelert
52.9396481,-4.1414809,,village,Tremadog
53.2534090,-3.2649885,,village,Babell
53.0921784,-3.0904133,,farm,Cae-ap-Edward Farm
53.1047833,-3.0811136,,farm,Clwyd Special Riding Centre
53.1347661,-3.1443809,,village,Nercwys
51.7457794,-5.0951728,,hamlet,Capeston
51.5954335,-3.7872630,,town,Port Talbot
53.2025905,-3.0928011,,village,Northop Hall
51.7107439,-4.9197721,,village,Burton
51.7280780,-4.9209089,,hamlet,Houghton
51.7404901,-4.9410798,,hamlet,Sardis
51.7635643,-4.9606275,,village,Freystrop Cross
52.6487979,-3.3240277,,village,Llanfair Caereinion
53.3146906,-3.2657174,,village,Mostyn
53.2914745,-3.4655568,,village,Rhuddlan
51.4534413,-3.6107531,,village,Southerndown
51.6186733,-3.9668798,,suburb,Uplands
51.5984622,-3.9939607,,suburb,Blackpill
51.6125235,-3.9708636,,suburb,Brynmill
51.5690371,-4.2861113,,village,Rhossili
51.5697806,-4.0908687,,village,Southgate
51.5869778,-4.1947885,,village,Reynoldston
51.5766066,-4.0852713,,village,Pennard
51.7313498,-5.1978502,,village,Marloes
53.1861162,-2.9439819,,hamlet,Higher Ferry
51.9474595,-4.6509660,,hamlet,Pentregalar
51.9747773,-4.6456956,,village,Crymych
51.8018417,-4.5311051,,village,Llanddowror
51.7757220,-4.6047745,,village,Red Roses
51.7616337,-4.6361972,,hamlet,Llanteg
51.8342742,-5.0474916,,village,Keeston
52.8082685,-4.6584206,,hamlet,Llanfaelrhys
52.8375685,-4.7020259,,hamlet,Rhydlios
51.9953252,-4.9665622,,suburb,Lower Town
52.8669686,-4.6710132,,hamlet,Pen-y-graig
52.8984708,-4.6198138,,village,Tudweiliog
52.9048985,-4.6289839,,hamlet,Towyn
52.9077090,-4.6222531,,hamlet,Rhôs-y-llan
52.9328651,-4.5505577,,village,Morfa Nefyn
52.8969953,-4.5747198,,hamlet,Dinas
52.8306551,-4.5309415,,village,Llangian
52.8226822,-4.5075491,,village,Abersoch
52.8131711,-4.5335682,,village,Llanengan
52.9077229,-4.4498499,,village,Llannor
52.9487800,-4.4928987,,hamlet,Pistyll
52.9598694,-4.4500586,,village,Llithfaen
52.9244753,-4.3830712,,hamlet,Y Ffor
52.9194526,-4.3296818,,village,Chwilog
53.0010110,-4.2765504,,village,Pant Glas
53.0303251,-4.2707849,,hamlet,Nebo
52.9770928,-4.2637098,,hamlet,Bryncir
52.9453104,-4.2598049,,hamlet,Rhoslan
52.9157061,-4.1377203,,village,Borth-y-Gêst
52.9136181,-4.1684651,,village,Morfa Bychan
52.9344509,-4.1978506,,hamlet,Pentrefelin
52.9370938,-4.1698934,,hamlet,Wern
52.9253423,-4.0889285,,village,Minffordd
52.9513382,-4.1053168,,village,Prenteg
52.9763035,-4.1557255,,hamlet,Tyddyn mawr
52.9934847,-4.0888503,,village,Nantmor
52.9823434,-4.0403993,,village,Croesor
52.9638850,-4.0562143,,hamlet,Tan lan
52.9509839,-4.0494094,,village,Llanfrothen
52.9549879,-4.0652247,,village,Garreg
52.9580848,-4.0296160,,hamlet,Rhyd
52.9868490,-4.0702262,,hamlet,Bwlchgwernog
52.9485561,-3.9968493,,hamlet,Tan-y-bwlch
52.9300385,-4.0668694,,village,Penrhyndeudraeth
52.9457718,-3.9873158,,village,Maentwrog
52.9028694,-4.0646824,,village,Talsarnau
52.8966324,-4.0869212,,village,Ynys
52.8336467,-4.1246034,,village,Llandanwg
